clinician_id,first_name,last_name,specialty,license_number,weekly_capacity_visits,zip_code,state,active,hire_date,created_at
CLIN-0041,Elizabeth,Mckenzie,Registered Nurse,LIC-5357jk,31,84797,NC,True,2023-01-30,2025-11-11T03:54:46.179291
CLIN-0042,Adrian,Noble,Social Worker,LIC-4157Jc,33,78986,WV,True,2022-01-22,2021-07-11T00:54:49.722518
CLIN-0043,David,Fernandez,Registered Nurse,LIC-1041Ns,24,93862,MA,True,2020-04-14,2020-06-27T23:40:45.614562
CLIN-0044,Mason,Blake,Occupational Therapist,LIC-8144EJ,20,54239,AS,True,2021-12-23,2024-08-25T20:52:26.967024
CLIN-0045,Courtney,Pierce,Registered Nurse,LIC-2188No,27,03459,MS,True,2020-02-14,2022-03-09T08:40:56.945400
CLIN-0046,Tina,Hansen,Speech Therapist,LIC-0378LX,33,15627,TN,True,2019-07-07,2021-05-29T12:07:29.926068
CLIN-0047,Donna,Swanson,Occupational Therapist,LIC-7436MK,20,02302,MD,True,2024-11-09,2023-07-05T01:17:06.821916
CLIN-0048,Susan,Melendez,Speech Therapist,LIC-5994SX,23,03234,ND,True,2024-06-02,2021-03-08T13:22:25.916185
CLIN-0049,Patricia,Smith,Speech Therapist,LIC-6969Od,29,90871,ME,True,2021-03-21,2020-12-21T05:54:02.718497
CLIN-0050,Cathy,Daniels,Registered Nurse,LIC-0610yv,26,55600,NH,True,2020-04-08,2022-11-14T17:45:36.455261
CLIN-0051,Joshua,Wallace,Occupational Therapist,LIC-0165jC,25,54813,CO,True,2025-10-03,2022-08-27T16:46:14.752760
CLIN-0052,Ann,Evans,Home Health Aide,LIC-8025oO,19,03187,NY,True,2020-08-02,2023-01-15T07:49:23.505846
CLIN-0053,Raymond,Austin,Social Worker,LIC-9644tD,21,65892,VI,True,2025-08-14,2022-01-19T02:35:54.747975
CLIN-0054,Nancy,Smith,Occupational Therapist,LIC-4232ql,35,28365,ME,True,2022-06-11,2024-11-12T18:18:19.051931
CLIN-0055,Joshua,Gibson,Home Health Aide,LIC-2415vp,25,52709,PA,True,2019-03-18,2023-05-24T09:15:14.340806
CLIN-0056,Leslie,Campbell,Speech Therapist,LIC-9062FK,34,50154,AL,True,2019-08-23,2021-01-16T11:33:13.924906
CLIN-0057,Shannon,Allen,Home Health Aide,LIC-3329Yv,33,89060,PA,True,2020-09-03,2021-02-24T07:03:41.648611
CLIN-0058,Jeffrey,Miller,Physical Therapist,LIC-8286oc,33,37140,AK,True,2025-08-20,2020-11-20T04:01:34.910936
CLIN-0059,Ryan,White,Speech Therapist,LIC-9917kg,19,64119,LA,True,2025-12-14,2023-10-23T14:50:03.953047
CLIN-0060,Maria,Johnson,Home Health Aide,LIC-1678Xl,22,16127,MI,True,2023-10-27,2023-09-30T16:03:24.679485
CLIN-0061,Rachel,Reyes,Speech Therapist,LIC-3706oi,23,47025,WV,False,2018-08-11,2021-05-14T12:07:44.730910
CLIN-0062,Mary,Willis,Physical Therapist,LIC-8048Xw,24,01495,HI,True,2019-07-22,2022-08-27T01:52:00.315619
CLIN-0063,Emily,Williams,Physical Therapist,LIC-9333xN,19,30083,NM,True,2023-03-06,2020-07-15T11:51:16.817636
CLIN-0064,Bryan,Brown,Social Worker,LIC-0295Bg,31,49886,FL,True,2019-10-27,2022-02-28T10:58:05.200657
CLIN-0065,Jennifer,Rhodes,Social Worker,LIC-7185wM,22,41015,AL,True,2024-02-28,2023-09-05T05:28:52.559431
CLIN-0066,Christy,Roach,Occupational Therapist,LIC-3045UZ,28,28969,DC,True,2024-04-15,2020-07-11T01:38:31.584964
CLIN-0067,Paul,Burton,Registered Nurse,LIC-7814vy,20,38462,NV,True,2024-03-19,2025-04-26T13:04:12.278653
CLIN-0068,Scott,Patton,Speech Therapist,LIC-1945mR,35,81015,UT,True,2025-08-23,2025-11-02T22:59:26.122513
CLIN-0069,Elizabeth,Dickson,Occupational Therapist,LIC-6665dw,34,23673,TN,True,2022-02-10,2025-09-09T02:09:22.890629
CLIN-0070,Robert,Martinez,Registered Nurse,LIC-9281SP,34,42595,NJ,True,2022-09-22,2022-08-01T02:15:31.554828
CLIN-0071,Charles,Griffith,Registered Nurse,LIC-0223eR,31,15427,MO,True,2022-03-04,2023-06-22T09:44:53.099631
CLIN-0072,Sara,Johnson,Home Health Aide,LIC-7635pi,21,20314,ID,False,2023-10-25,2020-10-12T09:50:05.087923
CLIN-0073,Michael,Moore,Home Health Aide,LIC-2684PG,21,48687,MT,True,2020-02-10,2023-02-28T12:54:09.307777
CLIN-0074,Christopher,Singleton,Home Health Aide,LIC-9430cb,29,98340,IA,True,2021-12-21,2022-02-19T12:11:20.460055
CLIN-0075,Rebekah,Hudson,Occupational Therapist,LIC-8923SS,30,10088,IL,True,2019-06-29,2022-10-10T23:29:29.582098
CLIN-0076,Carol,Sims,Home Health Aide,LIC-6693iE,33,99455,ND,True,2024-01-20,2020-08-27T10:50:57.384186
CLIN-0077,Donna,Harris,Occupational Therapist,LIC-7659ev,30,28066,PW,True,2022-07-14,2020-04-05T14:55:45.391978
CLIN-0078,Corey,Hill,Home Health Aide,LIC-0652SB,30,52001,LA,True,2019-10-26,2022-10-28T23:25:39.415332
CLIN-0079,Laura,Robinson,Occupational Therapist,LIC-5127lr,25,41909,MI,True,2020-02-10,2025-02-15T19:59:36.024523
CLIN-0080,John,Clements,Speech Therapist,LIC-5656NE,26,54336,KS,True,2022-07-30,2023-03-31T10:34:04.720994
